plan_item_id,task_id
PI0001,TASK0001
PI0001,TASK0002
PI0002,TASK0003
PI0002,TASK0004
PI0003,TASK0005
PI0003,TASK0006
PI0003,TASK0029
PI0004,TASK0007
PI0004,TASK0008
PI0005,TASK0009
PI0006,TASK0010
PI0006,TASK0011
PI0006,TASK0035
PI0006,TASK0046
PI0007,TASK0012
PI0007,TASK0032
PI0008,TASK0013
PI0009,TASK0014
PI0010,TASK0015
PI0011,TASK0016
PI0012,TASK0017
PI0013,TASK0018
PI0013,TASK0030
PI0014,TASK0019
PI0015,TASK0020
PI0016,TASK0021
PI0017,TASK0022
PI0018,TASK0023
PI0019,TASK0024
PI0020,TASK0025
PI0021,TASK0026
PI0022,TASK0027
PI0023,TASK0028
PI0024,TASK0031
PI0025,TASK0033
PI0026,TASK0034
PI0027,TASK0036
PI0028,TASK0037
PI0029,TASK0038
PI0030,TASK0039
PI0031,TASK0040
PI0032,TASK0041
PI0033,TASK0042
PI0034,TASK0043
PI0035,TASK0044
PI0036,TASK0045
PI0037,TASK0047
PI0038,TASK0048
PI0039,TASK0049
PI0040,TASK0050
PI0041,TASK0051
PI0042,TASK0052
PI0043,TASK0053
PI0044,TASK0054
PI0045,TASK0055
PI0046,TASK0056
PI0047,TASK0057
PI0048,TASK0058
PI0049,TASK0059
PI0050,TASK0060
