availability_id,corridor_id,window_start,window_end,is_available,reserved_by,source_version
AV00001,SEC001,2026-09-07T00:00:00,2026-09-07T05:30:00,True,,1
AV00002,SEC001,2026-09-07T13:00:00,2026-09-07T14:00:00,True,,1
AV00003,SEC002,2026-09-07T00:00:00,2026-09-07T05:30:00,True,,1
AV00004,SEC002,2026-09-07T14:00:00,2026-09-07T16:00:00,True,,1
AV00005,SEC003,2026-09-07T23:00:00,2026-09-07T03:30:00,True,,1
AV00006,SEC003,2026-09-07T11:00:00,2026-09-07T14:00:00,True,,1
AV00007,SEC004,2026-09-07T00:00:00,2026-09-07T05:30:00,True,,1
AV00008,SEC004,2026-09-07T11:00:00,2026-09-07T16:00:00,True,,1
AV00009,SEC005,2026-09-07T23:00:00,2026-09-07T03:30:00,True,,1
AV00010,SEC005,2026-09-07T13:00:00,2026-09-07T16:00:00,True,,1
AV00011,SEC006,2026-09-07T00:00:00,2026-09-07T03:30:00,True,,1
AV00012,SEC006,2026-09-07T14:00:00,2026-09-07T15:00:00,True,,1
AV00013,SEC007,2026-09-07T01:00:00,2026-09-07T03:30:00,True,,1
AV00014,SEC007,2026-09-07T13:00:00,2026-09-07T14:00:00,True,,1
AV00015,SEC008,2026-09-07T00:00:00,2026-09-07T04:30:00,True,,1
AV00016,SEC008,2026-09-07T13:00:00,2026-09-07T16:00:00,True,,1
AV00017,SEC009,2026-09-07T00:00:00,2026-09-07T05:30:00,True,,1
AV00018,SEC009,2026-09-07T13:00:00,2026-09-07T16:00:00,True,,1
AV00019,SEC001,2026-09-08T00:00:00,2026-09-08T05:30:00,True,,1
AV00020,SEC001,2026-09-08T13:00:00,2026-09-08T14:00:00,True,,1
AV00021,SEC002,2026-09-08T00:00:00,2026-09-08T05:30:00,True,,1
AV00022,SEC002,2026-09-08T14:00:00,2026-09-08T16:00:00,True,,1
AV00023,SEC003,2026-09-08T23:00:00,2026-09-08T03:30:00,True,,1
AV00024,SEC003,2026-09-08T11:00:00,2026-09-08T14:00:00,True,,1
AV00025,SEC004,2026-09-08T00:00:00,2026-09-08T05:30:00,True,,1
AV00026,SEC004,2026-09-08T11:00:00,2026-09-08T16:00:00,True,,1
AV00027,SEC005,2026-09-08T23:00:00,2026-09-08T03:30:00,True,,1
AV00028,SEC005,2026-09-08T13:00:00,2026-09-08T16:00:00,True,,1
AV00029,SEC006,2026-09-08T00:00:00,2026-09-08T03:30:00,True,,1
AV00030,SEC006,2026-09-08T14:00:00,2026-09-08T15:00:00,True,,1
AV00031,SEC007,2026-09-08T01:00:00,2026-09-08T03:30:00,True,,1
AV00032,SEC007,2026-09-08T13:00:00,2026-09-08T14:00:00,True,,1
AV00033,SEC008,2026-09-08T00:00:00,2026-09-08T04:30:00,True,,1
AV00034,SEC008,2026-09-08T13:00:00,2026-09-08T16:00:00,True,,1
AV00035,SEC009,2026-09-08T00:00:00,2026-09-08T05:30:00,True,,1
AV00036,SEC009,2026-09-08T13:00:00,2026-09-08T16:00:00,True,,1
AV00037,SEC001,2026-09-09T00:00:00,2026-09-09T05:30:00,True,,1
AV00038,SEC001,2026-09-09T13:00:00,2026-09-09T14:00:00,True,,1
AV00039,SEC002,2026-09-09T00:00:00,2026-09-09T05:30:00,True,,1
AV00040,SEC002,2026-09-09T14:00:00,2026-09-09T16:00:00,True,,1
AV00041,SEC003,2026-09-09T23:00:00,2026-09-09T03:30:00,True,,1
AV00042,SEC003,2026-09-09T11:00:00,2026-09-09T14:00:00,True,,1
AV00043,SEC004,2026-09-09T00:00:00,2026-09-09T05:30:00,True,,1
AV00044,SEC004,2026-09-09T11:00:00,2026-09-09T16:00:00,True,,1
AV00045,SEC005,2026-09-09T23:00:00,2026-09-09T03:30:00,True,,1
AV00046,SEC005,2026-09-09T13:00:00,2026-09-09T16:00:00,True,,1
AV00047,SEC006,2026-09-09T00:00:00,2026-09-09T03:30:00,True,,1
AV00048,SEC006,2026-09-09T14:00:00,2026-09-09T15:00:00,True,,1
AV00049,SEC007,2026-09-09T01:00:00,2026-09-09T03:30:00,True,,1
AV00050,SEC007,2026-09-09T13:00:00,2026-09-09T14:00:00,True,,1
AV00051,SEC008,2026-09-09T00:00:00,2026-09-09T04:30:00,True,,1
AV00052,SEC008,2026-09-09T13:00:00,2026-09-09T16:00:00,True,,1
AV00053,SEC009,2026-09-09T00:00:00,2026-09-09T05:30:00,True,,1
AV00054,SEC009,2026-09-09T13:00:00,2026-09-09T16:00:00,True,,1
AV00055,SEC001,2026-09-10T00:00:00,2026-09-10T05:30:00,True,,1
AV00056,SEC001,2026-09-10T13:00:00,2026-09-10T14:00:00,True,,1
AV00057,SEC002,2026-09-10T00:00:00,2026-09-10T05:30:00,True,,1
AV00058,SEC002,2026-09-10T14:00:00,2026-09-10T16:00:00,True,,1
AV00059,SEC003,2026-09-10T23:00:00,2026-09-10T03:30:00,True,,1
AV00060,SEC003,2026-09-10T11:00:00,2026-09-10T14:00:00,True,,1
AV00061,SEC004,2026-09-10T00:00:00,2026-09-10T05:30:00,True,,1
AV00062,SEC004,2026-09-10T11:00:00,2026-09-10T16:00:00,True,,1
AV00063,SEC005,2026-09-10T23:00:00,2026-09-10T03:30:00,True,,1
AV00064,SEC005,2026-09-10T13:00:00,2026-09-10T16:00:00,True,,1
AV00065,SEC006,2026-09-10T00:00:00,2026-09-10T03:30:00,True,,1
AV00066,SEC006,2026-09-10T14:00:00,2026-09-10T15:00:00,True,,1
AV00067,SEC007,2026-09-10T01:00:00,2026-09-10T03:30:00,True,,1
AV00068,SEC007,2026-09-10T13:00:00,2026-09-10T14:00:00,True,,1
AV00069,SEC008,2026-09-10T00:00:00,2026-09-10T04:30:00,True,,1
AV00070,SEC008,2026-09-10T13:00:00,2026-09-10T16:00:00,True,,1
AV00071,SEC009,2026-09-10T00:00:00,2026-09-10T05:30:00,True,,1
AV00072,SEC009,2026-09-10T13:00:00,2026-09-10T16:00:00,True,,1
AV00073,SEC001,2026-09-11T00:00:00,2026-09-11T05:30:00,True,,1
AV00074,SEC001,2026-09-11T13:00:00,2026-09-11T14:00:00,True,,1
AV00075,SEC002,2026-09-11T00:00:00,2026-09-11T05:30:00,True,,1
AV00076,SEC002,2026-09-11T14:00:00,2026-09-11T16:00:00,True,,1
AV00077,SEC003,2026-09-11T23:00:00,2026-09-11T03:30:00,True,,1
AV00078,SEC003,2026-09-11T11:00:00,2026-09-11T14:00:00,True,,1
AV00079,SEC004,2026-09-11T00:00:00,2026-09-11T05:30:00,True,,1
AV00080,SEC004,2026-09-11T11:00:00,2026-09-11T16:00:00,True,,1
AV00081,SEC005,2026-09-11T23:00:00,2026-09-11T03:30:00,True,,1
AV00082,SEC005,2026-09-11T13:00:00,2026-09-11T16:00:00,True,,1
AV00083,SEC006,2026-09-11T00:00:00,2026-09-11T03:30:00,True,,1
AV00084,SEC006,2026-09-11T14:00:00,2026-09-11T15:00:00,True,,1
AV00085,SEC007,2026-09-11T01:00:00,2026-09-11T03:30:00,True,,1
AV00086,SEC007,2026-09-11T13:00:00,2026-09-11T14:00:00,True,,1
AV00087,SEC008,2026-09-11T00:00:00,2026-09-11T04:30:00,True,,1
AV00088,SEC008,2026-09-11T13:00:00,2026-09-11T16:00:00,True,,1
AV00089,SEC009,2026-09-11T00:00:00,2026-09-11T05:30:00,True,,1
AV00090,SEC009,2026-09-11T13:00:00,2026-09-11T16:00:00,True,,1
AV00091,SEC001,2026-09-12T00:00:00,2026-09-12T05:30:00,True,,1
AV00092,SEC001,2026-09-12T13:00:00,2026-09-12T14:00:00,True,,1
AV00093,SEC002,2026-09-12T00:00:00,2026-09-12T05:30:00,True,,1
AV00094,SEC002,2026-09-12T14:00:00,2026-09-12T16:00:00,True,,1
AV00095,SEC003,2026-09-12T23:00:00,2026-09-12T03:30:00,True,,1
AV00096,SEC003,2026-09-12T11:00:00,2026-09-12T14:00:00,True,,1
AV00097,SEC004,2026-09-12T00:00:00,2026-09-12T05:30:00,True,,1
AV00098,SEC004,2026-09-12T11:00:00,2026-09-12T16:00:00,True,,1
AV00099,SEC005,2026-09-12T23:00:00,2026-09-12T03:30:00,True,,1
AV00100,SEC005,2026-09-12T13:00:00,2026-09-12T16:00:00,True,,1
AV00101,SEC006,2026-09-12T00:00:00,2026-09-12T03:30:00,True,,1
AV00102,SEC006,2026-09-12T14:00:00,2026-09-12T15:00:00,True,,1
AV00103,SEC007,2026-09-12T01:00:00,2026-09-12T03:30:00,True,,1
AV00104,SEC007,2026-09-12T13:00:00,2026-09-12T14:00:00,True,,1
AV00105,SEC008,2026-09-12T00:00:00,2026-09-12T04:30:00,True,,1
AV00106,SEC008,2026-09-12T13:00:00,2026-09-12T16:00:00,True,,1
AV00107,SEC009,2026-09-12T00:00:00,2026-09-12T05:30:00,True,,1
AV00108,SEC009,2026-09-12T13:00:00,2026-09-12T16:00:00,True,,1
AV00109,SEC001,2026-09-13T00:00:00,2026-09-13T05:30:00,True,,1
AV00110,SEC001,2026-09-13T13:00:00,2026-09-13T14:00:00,True,,1
