priority_score_id,task_id,score_value,score_breakdown,model_version_id,computed_at
PSC0001,TASK0001,86.0,"{""criticality_component"": 50.0, ""urgency_component"": 25.0, ""impact_component"": 11.0}",MODEL_PRIORITY_v1,2026-09-02T10:00:00
PSC0002,TASK0002,86.0,"{""criticality_component"": 50.0, ""urgency_component"": 25.0, ""impact_component"": 11.0}",MODEL_PRIORITY_v1,2026-09-03T10:00:00
PSC0003,TASK0003,80.0,"{""criticality_component"": 50.0, ""urgency_component"": 26.0, ""impact_component"": 4.0}",MODEL_PRIORITY_v1,2026-09-02T10:00:00
PSC0004,TASK0004,80.0,"{""criticality_component"": 50.0, ""urgency_component"": 26.0, ""impact_component"": 4.0}",MODEL_PRIORITY_v1,2026-08-28T10:00:00
PSC0005,TASK0005,82.0,"{""criticality_component"": 50.0, ""urgency_component"": 26.0, ""impact_component"": 6.0}",MODEL_PRIORITY_v1,2026-08-28T10:00:00
PSC0006,TASK0006,82.0,"{""criticality_component"": 50.0, ""urgency_component"": 26.0, ""impact_component"": 6.0}",MODEL_PRIORITY_v1,2026-09-07T10:00:00
PSC0007,TASK0007,76.0,"{""criticality_component"": 50.0, ""urgency_component"": 25.0, ""impact_component"": 1.0}",MODEL_PRIORITY_v1,2026-09-02T10:00:00
PSC0008,TASK0008,66.0,"{""criticality_component"": 40.0, ""urgency_component"": 25.0, ""impact_component"": 1.0}",MODEL_PRIORITY_v1,2026-09-03T10:00:00
PSC0009,TASK0009,26.0,"{""criticality_component"": 20.0, ""urgency_component"": 5.0, ""impact_component"": 1.0}",MODEL_PRIORITY_v1,2026-08-29T10:00:00
PSC0010,TASK0010,42.0,"{""criticality_component"": 20.0, ""urgency_component"": 21.0, ""impact_component"": 1.0}",MODEL_PRIORITY_v1,2026-09-07T10:00:00
PSC0011,TASK0011,52.0,"{""criticality_component"": 30.0, ""urgency_component"": 21.0, ""impact_component"": 1.0}",MODEL_PRIORITY_v1,2026-09-06T10:00:00
PSC0012,TASK0012,32.0,"{""criticality_component"": 20.0, ""urgency_component"": 6.0, ""impact_component"": 6.0}",MODEL_PRIORITY_v1,2026-09-07T10:00:00
PSC0013,TASK0013,53.0,"{""criticality_component"": 30.0, ""urgency_component"": 22.0, ""impact_component"": 1.0}",MODEL_PRIORITY_v1,2026-09-03T10:00:00
PSC0014,TASK0014,81.0,"{""criticality_component"": 50.0, ""urgency_component"": 27.0, ""impact_component"": 4.0}",MODEL_PRIORITY_v1,2026-09-05T10:00:00
PSC0015,TASK0015,72.0,"{""criticality_component"": 40.0, ""urgency_component"": 28.0, ""impact_component"": 4.0}",MODEL_PRIORITY_v1,2026-09-02T10:00:00
PSC0016,TASK0016,68.0,"{""criticality_component"": 40.0, ""urgency_component"": 27.0, ""impact_component"": 1.0}",MODEL_PRIORITY_v1,2026-09-07T10:00:00
PSC0017,TASK0017,30.0,"{""criticality_component"": 10.0, ""urgency_component"": 16.0, ""impact_component"": 4.0}",MODEL_PRIORITY_v1,2026-09-06T10:00:00
PSC0018,TASK0018,89.0,"{""criticality_component"": 50.0, ""urgency_component"": 28.0, ""impact_component"": 11.0}",MODEL_PRIORITY_v1,2026-08-28T10:00:00
PSC0019,TASK0019,15.0,"{""criticality_component"": 10.0, ""urgency_component"": 4.0, ""impact_component"": 1.0}",MODEL_PRIORITY_v1,2026-09-04T10:00:00
PSC0020,TASK0020,56.0,"{""criticality_component"": 30.0, ""urgency_component"": 21.0, ""impact_component"": 5.0}",MODEL_PRIORITY_v1,2026-08-28T10:00:00
PSC0021,TASK0021,32.0,"{""criticality_component"": 10.0, ""urgency_component"": 16.0, ""impact_component"": 6.0}",MODEL_PRIORITY_v1,2026-09-02T10:00:00
PSC0022,TASK0022,48.0,"{""criticality_component"": 20.0, ""urgency_component"": 23.0, ""impact_component"": 5.0}",MODEL_PRIORITY_v1,2026-08-28T10:00:00
PSC0023,TASK0023,73.0,"{""criticality_component"": 40.0, ""urgency_component"": 29.0, ""impact_component"": 4.0}",MODEL_PRIORITY_v1,2026-09-04T10:00:00
PSC0024,TASK0024,30.0,"{""criticality_component"": 20.0, ""urgency_component"": 5.0, ""impact_component"": 5.0}",MODEL_PRIORITY_v1,2026-08-31T10:00:00
