timetable_slot_id,corridor_id,day_of_week,start_time,end_time,scheduled_trains_count,is_freight_forecast
TS0001,SEC002,Daily,13:30,13:45,1,False
TS0002,SEC005,Daily,13:30,13:45,1,False
TS0003,SEC008,Daily,01:15,01:30,1,False
TS0004,SEC004,Daily,04:00,04:15,1,False
TS0005,SEC002,Thu,14:45,15:00,1,False
TS0006,SEC008,Thu,12:15,12:30,1,False
TS0007,SEC002,Thu,13:15,13:30,1,False
TS0008,SEC008,Daily,01:15,01:30,1,True
TS0009,SEC008,Sat,21:30,21:45,1,False
TS0010,SEC007,Mon,17:45,18:00,1,True
TS0011,SEC008,Sat,08:15,08:30,1,False
TS0012,SEC004,Tue,08:45,09:00,1,False
TS0013,SEC004,Tue,08:30,08:45,1,False
TS0014,SEC003,Tue,04:15,04:30,1,False
TS0015,SEC004,Daily,02:45,03:00,1,False
TS0016,SEC008,Daily,13:00,13:15,1,True
TS0017,SEC001,Daily,18:45,19:00,1,False
TS0018,SEC005,Daily,12:45,13:00,1,False
TS0019,SEC005,Daily,13:45,14:00,1,False
TS0020,SEC007,Daily,23:15,23:30,1,False
TS0021,SEC009,Mon,00:45,01:00,1,True
TS0022,SEC002,Daily,20:45,21:00,1,False
TS0023,SEC001,Daily,08:45,09:00,1,False
TS0024,SEC006,Daily,10:45,11:00,1,False
TS0025,SEC002,Daily,15:00,15:15,1,False
TS0026,SEC002,Daily,20:00,20:15,1,False
TS0027,SEC001,Daily,19:15,19:30,1,False
TS0028,SEC002,Tue,18:15,18:30,1,False
TS0029,SEC006,Daily,05:00,05:15,1,False
TS0030,SEC001,Fri,09:45,10:00,1,False
TS0031,SEC002,Thu,18:15,18:30,1,False
TS0032,SEC002,Sun,18:00,18:15,1,False
TS0033,SEC006,Daily,02:30,02:45,1,False
TS0034,SEC002,Sat,13:30,13:45,1,False
TS0035,SEC007,Daily,05:30,05:45,1,False
TS0036,SEC005,Daily,10:15,10:30,1,False
TS0037,SEC004,Daily,14:45,15:00,1,False
TS0038,SEC006,Daily,05:45,06:00,1,False
TS0039,SEC006,Tue,08:30,08:45,1,False
TS0040,SEC002,Fri,07:45,08:00,1,False
